StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Nitrate +nitrite water,in situmg/L as",county
11447905,SACRAMENTO R BL GEORGIANA SLOUGH CA,02/10 22:30 PST,11.4,201,--,--,--,--,Sacramento County
,[TS213: YSI EXO],02/10 22:30 PST,--,--,--,--,13.7,--,Sacramento County
10260500,DEEP C NR HESPERIA CA,02/10 22:00 PST,8.3,228,--,8.1,--,--,San Bernardino County
10261500,MOJAVE R A LO NARROWS NR VICTORVILLE CA,02/10 21:45 PST,10.0,583,--,7.8,--,--,San Bernardino County
374811122235001,SAN FRANCISCO BAY A PIER 17 A SAN FRANCISCO CA,02/10 22:00 PST,11.5,"44,900",--,--,17.8,--,San Francisco County
11303500,SAN JOAQUIN R NR VERNALIS CA,02/10 21:45 PST,14.2,--,--,--,--,--,San Joaquin County
11304810,SAN JOAQUIN R BL GARWOOD BRIDGE A STOCKTON CA,02/10 22:00 PST,12.4,918,--,--,--,--,San Joaquin County
,[TS213: YSI EXO],02/10 22:00 PST,--,--,--,--,6.0,--,San Joaquin County
11312676,MIDDLE R AT MIDDLE RIVER CA,02/10 22:30 PST,11.5,653,--,7.8,--,1.49,San Joaquin County
,[TS213: YSI EXO],02/10 22:30 PST,--,--,--,--,2.6,--,San Joaquin County
11313460,SAN JOAQUIN R A PRISONERS PT NR TERMINOUS CA,05/28 11:15 PST,Dis,Dis,--,--,--,--,San Joaquin County
,[TS213: YSI EXO],05/28 11:15 PST,--,--,--,--,Dis,--,San Joaquin County
11336790,LITTLE POTATO SLOUGH A TERMINOUS CA,02/10 22:30 PST,11.7,223,--,7.2,--,0.90,San Joaquin County
,[TS213: YSI EXO],02/10 22:30 PST,--,--,--,--,7.7,--,San Joaquin County
11162620,PILARCITOS C BL STONE DAM NR HILLSBOROUGH CA,02/10 22:00 PST,8.6,--,--,--,--,--,San Mateo County
11162753,SAN MATEO C BL LO CRYSTAL SP RES NR SAN MATEO CA,02/10 22:45 PST,11.3,--,--,--,--,--,San Mateo County
11162765,SF BAY A SAN MATEO BRIDGE NR FOSTER CITY CA,San Mateo County
,LOWER - 10 FT FROM BED,02/10 22:00 PST,12.2,"44,200",--,--,--,--,San Mateo County
,UPPER - 44 FT FROM BED,02/10 22:00 PST,12.1,"43,900",--,--,--,--,San Mateo County
373015122071000,SOUTH SAN FRANCISCO BAY AT DUMBARTON BRIDGE CA,San Mateo County
,LOWER: 4 ft from bed,02/10 22:00 PST,12.8,"42,500",--,--,--,--,San Mateo County
,"LOWER: 4 ft from bed, [YSI]",02/10 22:00 PST,--,--,--,--,106,--,San Mateo County
,UPPER: 25 ft from bed,02/10 22:00 PST,12.8,"42,000",--,--,--,--,San Mateo County
,"UPPER: 25 ft from bed, [YSI]",02/10 22:00 PST,--,--,--,--,80.8,--,San Mateo County
373751122143601,SAN FRANCISCO BAY 2.8 MI N OF SAN MATEO BRIDGE CA,San Mateo County
,SURFACE BUOY,06/09 13:15 PDT,19.6,--,9.1,Eqp,85.4,--,San Mateo County
,,06/09 12:45 PDT,--,"44,800",--,--,--,--,San Mateo County
11125605,HILTON CYN C 0.25 MI BL BRADBURY DAM NR SANTA YNEZ,02/10 22:30 PST,11.3,873,--,--,--,--,Santa Barbara County
11126000,SANTA YNEZ R NR SANTA YNEZ CA,02/10 21:45 PST,12.7,870,8.4,--,--,--,Santa Barbara County
11128500,SANTA YNEZ R A SOLVANG CA,02/10 22:00 PST,14.6,"1,010",7.2,--,--,--,Santa Barbara County
11133000,SANTA YNEZ R A NARROWS NR LOMPOC CA,02/10 22:30 PST,14.0,"1,330",--,--,--,--,Santa Barbara County
11153000,PACHECO C NR DUNNEVILLE CA,02/10 22:15 PST,Dry,--,--,--,--,--,Santa Clara County
11169750,ALVISO SLOUGH NR ALVISO CA,02/27 12:00 PST,10.6,"33,200",--,--,--,--,Santa Clara County
,[TS213: YSI EXO],10/01 00:00 PST,--,--,--,--,114,--,Santa Clara County
11173200,ARROYO HONDO NR SAN JOSE CA,02/10 22:00 PST,10.0,--,--,--,--,--,Santa Clara County
11355500,HAT C NR HAT CREEK CA,02/10 21:45 PST,7.0,--,--,--,--,--,Shasta County
11455165,MINER SLOUGH A HWY 84 BRIDGE,10/27 10:00 PST,Dis,--,--,--,--,--,Solano County
,,06/29 11:15 PST,--,133,--,--,--,--,Solano County
,[TS213: YSI EXO],10/27 10:00 PST,--,--,--,--,Dis,--,Solano County
11455276,SHAG SLOUGH A LIBERTY ISLAND NR COURTLAND CA,02/10 20:00 PST,--,--,--,--,4.5,--,Solano County
11455278,HASS SLOUGH NR ELMIRA CA,02/10 22:15 PST,11.9,530,--,--,3.0,--,Solano County
11455280,CACHE SLOUGH NR HASTINGS TRACT NR RIO VISTA CA,Solano County
,Buoy Station,02/10 22:30 PST,12.0,441,--,--,2.0,--,Solano County
11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,Solano County
,BGC PROJECT,02/10 22:30 PST,12.2,265,10.4,8.0,9.8,0.62,Solano County
11455335,SACRAMENTO R DEEP WATER SHIP CHANNEL NR RIO VISTA,02/10 22:30 PST,11.6,242,--,7.9,--,--,Solano County
,[TS213: YSI EXO],02/10 22:30 PST,--,--,--,--,8.7,--,Solano County
11455338,SACRAMENTO R DEEP WATER SHIP CHANNEL MARKER 51 CA,02/10 21:30 PST,11.6,233,--,--,10.3,--,Solano County
,,01/28 13:30 PST,--,--,10.7,7.9,--,--,Solano County
11455385,CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA,Solano County
,[BGC PROJECT],02/10 22:30 PST,11.7,233,--,7.7,8.3,Eqp,Solano County
11455420,SACRAMENTO R A RIO VISTA CA,05/12 12:00 PST,Dis,Dis,--,--,--,--,Solano County
,[TS213: YSI EXO],10/19 02:45 PST,--,--,--,--,Dis,--,Solano County
11455478,SACRAMENTO R A DECKER ISLAND NR RIO VISTA CA,Solano County
,BGC PROJECT,02/10 22:30 PST,11.5,223,9.8,7.8,9.0,0.67,Solano County
11455508,SUISUN BAY A VAN SICKLE ISLAND NR PITTSBURG CA,02/10 22:30 PST,11.0,"2,480",9.9,7.9,31.4,--,Solano County
,[(2)],01/31 02:30 PST,--,--,--,--,--,Eqp,Solano County
11455780,SUISUN BAY A BENICIA BRIDGE NR BENICIA CA,Solano County
,LOWER - 19 FT FROM BED,02/10 22:15 PST,11.7,"15,600",--,--,75.8,--,Solano County
,UPPER - 71 FT FROM BED,02/10 22:15 PST,11.6,"15,100",--,--,38.4,--,Solano County
11455820,CARQUINEZ STRAIT A CARQUINEZ BR NR CROCKETT CA,Solano County
,LOWER - 5 FT FROM BED,02/10 22:00 PST,11.8,"23,700",--,--,--,--,Solano County
,UPPER - 48 FT FROM BED,02/10 22:00 PST,11.8,"21,400",--,--,--,--,Solano County
380631122032201,GRIZZLY BAY A SUISUN SLOUGH NR AVON CA,01/12 09:30 PST,Eqp,Eqp,Eqp,Eqp,Eqp,Eqp,Solano County
381142122015801,FIRST MALLARD BRANCH NR FAIRFIELD CA,Solano County
,BGC PROJECT,02/10 22:30 PST,11.9,"8,340",7.4,7.4,36.2,--,Solano County
,BOTTOM MOUNT,09/19 17:45 PDT,19.9,--,--,--,--,--,Solano County
11458433,SONOMA CREEK A KENWOOD CA,02/10 22:00 PST,11.6,334,--,--,--,--,Sonoma County
11458500,SONOMA C A AGUA CALIENTE CA,02/10 22:45 PST,Ssn,--,--,--,Ssn,--,Sonoma County
11463682,RUSSIAN R A JIMTOWN CA,02/10 22:00 PST,12.7,Ssn,Ssn,Ssn,--,--,Sonoma County
,[TS087: YSI 6136],11/01 00:45 PDT,--,--,--,--,2.7,--,Sonoma County
,[TS213: YSI EXO],11/01 00:45 PDT,--,--,--,--,Ssn,--,Sonoma County
11463980,RUSSIAN R A DIGGER BEND NR HEALDSBURG CA,02/10 22:15 PST,12.4,300,10.0,7.9,--,--,Sonoma County
,[TS213: YSI EXO],02/10 22:15 PST,--,--,--,--,2.0,--,Sonoma County
11465240,DRY C BLW LAMBERT BR NR GEYSERVILLE CA,02/10 22:00 PST,11.6,183,10.0,7.7,--,--,Sonoma County
,[EXO Sensor],02/10 22:00 PST,--,--,--,--,1.2,--,Sonoma County
11466800,MARK WEST C NR MIRABEL HEIGHTS CA,05/01 01:00 PDT,15.7,435,--,--,7.7,--,Sonoma County
11467000,RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA,02/10 22:15 PST,12.4,281,10.2,7.9,--,--,Sonoma County
,[TS213: YSI EXO],02/10 22:15 PST,--,--,--,--,4.3,--,Sonoma County
383930122494801,009N009W02F001M,02/10 22:00 PST,17.5,--,--,--,--,--,Sonoma County
11273400,SAN JOAQUIN R AB MERCED R NR NEWMAN CA,02/10 22:30 PST,13.8,"2,010",8.4,7.9,--,--,Stanislaus County
,[TS213: YSI EXO],02/10 22:30 PST,--,--,--,--,53.2,--,Stanislaus County
11274500,ORESTIMBA C NR NEWMAN CA,02/10 22:15 PST,--,Tst,--,--,--,--,Stanislaus County
,,04/11 16:00 PDT,16.3,--,--,--,--,--,Stanislaus County
11274550,SAN JOAQUIN R NR CROWS LANDING CA,02/10 22:30 PST,13.6,"1,540",--,--,--,--,Stanislaus County
11289650,TUOLUMNE R BL LAGRANGE DAM NR LAGRANGE CA,02/10 22:30 PST,12.0,--,--,--,--,--,Stanislaus County
11290000,TUOLUMNE R A MODESTO CA,02/10 22:30 PST,12.8,112,--,--,--,--,Stanislaus County
11302500,STANISLAUS R A OAKDALE CA,02/10 22:00 PST,11.2,--,--,--,--,--,Stanislaus County
11303000,STANISLAUS R A RIPON CA,02/10 21:45 PST,12.4,100,--,--,--,--,Stanislaus County
11381500,MILL C NR LOS MOLINOS CA,02/10 21:45 PST,9.0,--,--,--,--,--,Tehama County
11383500,DEER C NR VINA CA,02/10 22:15 PST,8.2,--,--,--,--,--,Tehama County
11526400,TRINITY R AB NF TRINITY R NR HELENA CA,02/10 21:45 PST,7.2,--,--,--,--,--,Trinity County
11203580,SF TULE R NR CHOLOLLO CAMPGROUND NR PORTERVILLE CA,02/10 21:45 PST,5.7,115,--,7.1,--,--,Tulare County
