StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Sampling depth, feet","Stream velocity, ft/s","Turbidity, NTU","Turbidity, IR LED light,det ang90 deg, FNU",county
08447410,"Pecos Rv nr Langtry, TX",02/11 00:00 CST,16.5,"3,110",9.1,--,--,--,--,--,Rio Grande Basin
08041820,"Sabine Lk site SAB1 nr Groves, TX",01/27 14:00 CST,15.8,"7,760",--,--,--,--,--,--,Coastal Basins
08041910,"Sabine Lk site SAB2 nr Sabine Pass, TX",01/27 11:00 CST,16.7,"4,220",--,--,--,--,--,--,Coastal Basins
08067230,"Old Rv Lk site OLDR nr Wallisville, TX",12/19 01:45 CST,12.4,"4,560",--,--,--,--,--,--,Coastal Basins
08067320,"Galveston Bay site BOLI nr Galveston, TX",01/28 10:45 CST,14.6,"24,000",--,--,--,--,--,--,Coastal Basins
08117975,"E Matagorda Bay site EMB nr Matagorda, TX",02/03 13:00 CST,15.8,"40,100",--,--,--,--,--,--,Coastal Basins
08162675,"Tres Palacios Bay site TPAL nr Palacios, TX",02/03 10:45 CST,15.5,"38,200",--,--,--,--,--,--,Coastal Basins
08470500,"Arroyo Colorado at FM 106, Rio Hondo, TX",Coastal Basins
,STEP 1,02/11 00:03 CST,21.0,"14,500",3.3,--,--,--,--,--,Coastal Basins
,STEP 2,02/11 00:07 CST,21.2,"13,600",3.5,--,--,--,--,--,Coastal Basins
,STEP 3,02/11 00:10 CST,21.4,"11,800",4.2,--,--,--,--,--,Coastal Basins
,STEP 4,02/11 00:14 CST,22.7,"7,190",6.5,--,--,--,--,--,Coastal Basins
,STEP 5,12/14 16:28 CST,18.9,"11,700",6.3,--,--,--,--,--,Coastal Basins
294643095035200,"Lynchburg Res nr CWA Canal Inflow nr Baytown, TX",02/11 00:15 CST,14.7,359,10.0,7.9,--,--,--,18.6,Coastal Basins
290802098232901,AY-68-53-928 (ASR-MW C8),Texas Undefined Basin
,MONITOR 460 FT,03/06 10:00 CST,--,Dis,--,--,--,--,--,--,Texas Undefined Basin
292943098354404,AY-68-36-132 (Z DED),02/11 00:00 CST,22.0,617,--,--,--,--,--,--,Texas Undefined Basin
293252098380801,AY-68-27-610 (Parkwood Park),02/11 00:00 CST,22.2,657,--,--,--,--,--,--,Texas Undefined Basin
293405098394201,AY-68-27-609 (Western Oak),02/11 00:00 CST,22.0,618,--,--,--,--,--,--,Texas Undefined Basin
293516098325501,AY-68-28-211 (Shavano Park at Fawn Drive),02/11 00:00 CST,22.0,602,5.4,--,--,--,--,--,Texas Undefined Basin
,,08/15 09:00 CDT,--,--,--,6.9,--,--,--,--,Texas Undefined Basin
293559098284801,AY-68-29-112 (Donella),02/11 00:45 CST,22.3,738,--,--,--,--,--,--,Texas Undefined Basin
