StationNumber,Station name,Date/Time,"Temperature, water, deg C","Dissolvedoxygen, mg/L","Specificconductance,wat unfuS/cm @25 degC","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Nitrate +nitrite water, fltrd, mg/L as N","Dissolvedsolids,sum ofconsti-tuents, mg/L","Oxidation re-duction potential, mV","Suspnd.sedimnt conc,wat unfest. byregres, mg/L",county
,[Sensor 9 Water Temperature],02/11 00:00 CST,7.1,--,--,--,--,--,--,--,--,Arkansas River Basin
07263555,"Fourche Creek at Univ. Avenue at Little Rock, AR",02/10 23:45 CST,Dis,--,--,--,--,--,--,--,--,Arkansas River Basin
07263878,"Salt Bayou Ditch nr Humphrey, AR",02/10 23:45 CST,5.0,--,211,--,68.8,--,--,--,--,Arkansas River Basin
072638805,"Fish Lake Ditch near Altheimer, AR",02/11 00:30 CST,5.5,--,341,--,59.3,--,--,--,--,Arkansas River Basin
07264000,"Bayou Meto near Lonoke, AR",02/10 23:45 CST,5.0,--,79,--,--,--,--,--,--,Arkansas River Basin
07047942,"LAnguille River near Colt, AR",02/11 00:00 CST,--,--,234,--,--,--,--,--,--,St. Francis River Basin
343048093030401,02S19W33CBD1 Hot Springs,Groundwater
,[Specific Conductance @ 25C],02/11 00:00 CST,--,--,Eqp,--,--,--,--,--,--,Groundwater
343048093031301,Quapaw Spring,02/10 23:00 CST,60.9,--,--,--,--,--,--,--,--,Groundwater
343049093031301,Fordyce Spr. 46 in Fordyce Bath House @ HOSP N.P.,02/10 23:00 CST,57.4,--,--,--,--,--,--,--,--,Groundwater
343050093031201,Superior Spr. in Superior Bath House @ HOSP N.P.,02/10 23:00 CST,64.1,--,--,--,--,--,--,--,--,Groundwater
343052093031301,Hale Spr. in Hale Bath House @ HOSP N.P.,02/10 23:00 CST,62.9,--,--,--,--,--,--,--,--,Groundwater
343054093031201,Spring 49 @ HOSP N.P.,02/10 23:00 CST,Dis,--,--,--,--,--,--,--,--,Groundwater
343055093031301,Spring 9 @ HOSP N.P.,02/03 14:00 CST,Dis,--,--,--,--,--,--,--,--,Groundwater
343056093030901,Crystal Spring (8) @ HOSP N.P.,02/10 23:00 CST,Dis,--,--,--,--,--,--,--,--,Groundwater
343057093031301,Arscenic Spring (17) @ HOSP N.P.,02/10 23:00 CST,Dis,--,--,--,--,--,--,--,--,Groundwater
343058093030901,Spring 47 @ HOSP N.P.,02/10 23:00 CST,Dis,--,--,--,--,--,--,--,--,Groundwater
